,id,satno,cosparId,objectClass,mass,xSectAvg
17103,45552,45552.0,2020-025X,Payload,260.0,13.5615
17104,45553,45553.0,2020-025Y,Payload,260.0,13.5615
17105,45554,45554.0,2020-025Z,Payload,260.0,13.5615
17106,45555,45555.0,2020-025AA,Payload,260.0,13.5615
17107,45556,45556.0,2020-025AB,Payload,260.0,13.5615
17108,45557,45557.0,2020-025AC,Payload,260.0,13.5615
17109,45558,45558.0,2020-025AD,Payload,260.0,13.5615
17110,45559,45559.0,2020-025AE,Payload,260.0,13.5615
17111,4555,4555.0,1966-041F,Rocket Mission Related Object,,
17112,45560,45560.0,2020-025AF,Payload,260.0,13.5615
17113,45561,45561.0,2020-025AG,Payload,260.0,13.5615
17114,45562,45562.0,2020-025AH,Payload,260.0,13.5615
17115,45563,45563.0,2020-025AJ,Payload,260.0,13.5615
17116,45564,45564.0,2020-025AK,Payload,260.0,13.5615
17117,45565,45565.0,2020-025AL,Payload,260.0,13.5615
17118,45566,45566.0,2020-025AM,Payload,260.0,13.5615
17119,45567,45567.0,2020-025AN,Payload,260.0,13.5615
17120,45568,45568.0,2020-025AP,Payload,260.0,13.5615
17121,45569,45569.0,2020-025AQ,Payload,260.0,13.5615
17122,45570,45570.0,2020-025AR,Payload,260.0,13.5615
17123,45571,45571.0,2020-025AS,Payload,260.0,13.5615
17124,45572,45572.0,2020-025AT,Payload,260.0,13.5615
17125,45573,45573.0,2020-025AU,Payload,260.0,13.5615
17126,45574,45574.0,2020-025AV,Payload,260.0,13.5615
